ID,Date,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,t
AS14.06,2014-04-06,7.0,-1.0,0.0,,,,,,,,,,,,,,,,,49.0
AS14.06,2014-04-07,6.2,-0.6,0.0,,,,,,,,,,,,,,,,,50.0
AS14.06,2014-04-08,6.6,-0.2,0.0,,,,,,,,,,,,,,,,,51.0
AS14.06,2014-04-09,7.4,0.4,1.0070000000000001,,,,,,,,,,,,,,,,,52.0
AS14.06,2014-04-10,7.6,-0.2,26.138,,,,,,,,,,,,,,,,,53.0
AS14.06,2014-04-11,7.8,-0.2,0.0,,,,,,,,,,,,,,,,,54.0
AS14.06,2014-04-12,8.2,0.4,16.081,,,,,,,,,,,,,,,,,55.0
AS14.06,2014-04-13,6.5,-1.5,0.0,,,,,,,,,,,,,,,,,56.0
AS14.06,2014-04-14,7.25,-0.25,0.0,,,,,,,,,,,,,,,,,57.0
AS14.06,2014-04-15,7.0,-0.4,12.056000000000001,,,,,,,,,,,,,,,,,58.0
AS14.06,2014-04-16,7.6,0.0,0.0,,,,,,,,,,,,,,,,,59.0
AS14.06,2014-04-17,6.8,0.2,0.0,,,,,,,,,,,,,,,,,60.0
AS14.06,2014-04-18,6.25,-1.0,0.0,,,,,,,,,,,,,,,,,61.0
AS14.06,2014-04-19,6.8,0.2,0.0,,,,,,,,,,,,,,,,,62.0
AS14.06,2014-04-20,8.2,0.6,0.0,,,,,,,,,,,,,,,,,63.0
AS14.06,2014-04-21,7.0,0.2,0.0,,,,,,,,,,,,,,,,,64.0
AS14.06,2014-04-22,6.6,-0.4,0.0,,,,,,,,,,,,,,,,,65.0
AS14.06,2014-04-23,7.0,0.0,26.581999999999997,,,,,,,,,,,,,,,,,66.0
AS14.06,2014-04-24,7.75,-0.25,15.117,,,,,,,,,,,,,,,,,67.0
AS14.06,2014-04-25,6.4,-1.0,0.0,,,,,,,,,,,,,,,,,68.0
AS14.06,2014-04-26,7.5,0.0,0.0,,,,,,,,,,,,,,,,,69.0
AS14.06,2014-04-27,7.2,-0.6,0.0,,,,,,,,,,,,,,,,,70.0
AS14.06,2014-04-28,6.75,-0.25,0.0,,,,,,,,,,,,,,,,,71.0
AS14.06,2014-04-29,7.25,0.0,0.0,,,,,,,,,,,,,,,,,72.0
AS14.06,2014-04-30,6.8,-0.6,0.0,,,,,,,,,,,,,,,,,73.0
AS14.06,2014-05-01,8.0,0.0,0.0,,,,,,,,,,,,,,,,,74.0
AS14.06,2014-05-02,7.2,-0.75,7.101,,,,,,,,,,,,,,,,,75.0
AS14.06,2014-05-03,6.25,-0.75,0.0,,,,,,,,,,,,,,,,,76.0
AS14.06,2014-05-04,7.6,-0.8,0.0,,,,,,,,,,,,,,,,,77.0
AS14.06,2014-05-05,7.0,-0.6666666666666666,0.0,,,,,,,,,,,,,,,,,78.0
AS14.06,2014-05-06,,,0.0,,,,,,,,,,,,,,,,,79.0
AS14.06,2014-05-07,6.75,-0.5,8.026,,,,,,,,,,,,,,,,,80.0
AS14.06,2014-05-08,7.0,-1.0,63.596000000000004,,,,,,,,,,,,,,,,,81.0
AS14.07,2014-03-19,6.8,-1.0,255.16,,,,,,,,,,,,,,,,,31.0
AS14.07,2014-03-20,5.25,-0.75,0.0,,,,,,,,,,,,,,,,,32.0
AS14.07,2014-03-21,7.0,0.3333333333333333,31.218000000000004,,,,,,,,,,,,,,,,,33.0
AS14.07,2014-03-22,6.0,-0.4,0.0,,,,,,,,,,,,,,,,,34.0
AS14.07,2014-03-23,7.75,0.0,0.0,,,,,,,,,,,,,,,,,35.0
AS14.07,2014-03-24,8.0,0.5,0.0,,,,,,,,,,,,,,,,,36.0
AS14.07,2014-03-25,7.666666666666667,-0.5,0.0,,,,,,,,,,,,,,,,,37.0
AS14.07,2014-03-26,6.6,0.2,0.0,,,,,,,,,,,,,,,,,38.0
AS14.07,2014-03-27,6.8,0.2,0.0,,,,,,,,,,,,,,,,,39.0
AS14.07,2014-03-28,8.25,0.25,14.225999999999999,,,,,,,,,,,,,,,,,40.0
AS14.07,2014-03-29,7.0,0.2,0.0,,,,,,,,,,,,,,,,,41.0
AS14.07,2014-03-30,6.2,0.2,0.0,,,,,,,,,,,,,,,,,42.0
AS14.07,2014-03-31,4.333333333333333,-1.0,0.0,,,,,,,,,,,,,,,,,43.0
AS14.07,2014-04-01,6.6,-1.0,0.0,,,,,,,,,,,,,,,,,44.0
AS14.07,2014-04-02,5.5,-1.25,0.0,,,,,,,,,,,,,,,,,45.0
AS14.07,2014-04-03,6.2,-0.4,0.0,,,,,,,,,,,,,,,,,46.0
AS14.07,2014-04-04,6.5,-0.75,363.42900000000003,,,,,,,,,,,,,,,,,47.0
AS14.07,2014-04-05,6.0,0.0,0.0,,,,,,,,,,,,,,,,,48.0
AS14.07,2014-04-06,6.75,-0.75,1.002,,,,,,,,,,,,,,,,,49.0
AS14.07,2014-04-07,5.4,-0.6,0.0,,,,,,,,,,,,,,,,,50.0
AS14.07,2014-04-08,6.8,-0.4,0.0,,,,,,,,,,,,,,,,,51.0
AS14.07,2014-04-09,6.4,-1.0,6.037999999999999,,,,,,,,,,,,,,,,,52.0
AS14.07,2014-04-10,6.2,0.4,0.0,,,,,,,,,,,,,,,,,53.0
AS14.07,2014-04-11,3.5,0.5,0.0,,,,,,,,,,,,,,,,,54.0
AS14.07,2014-04-12,6.4,0.0,0.0,,,,,,,,,,,,,,,,,55.0
AS14.07,2014-04-13,6.5,-0.25,0.0,,,,,,,,,,,,,,,,,56.0
AS14.07,2014-04-14,6.2,-0.2,0.0,,,,,,,,,,,,,,,,,57.0
AS14.07,2014-04-15,6.0,-0.75,0.0,,,,,,,,,,,,,,,,,58.0
AS14.07,2014-04-16,4.75,-1.25,0.0,,,,,,,,,,,,,,,,,59.0
AS14.07,2014-04-17,3.8,-1.2,0.0,,,,,,,,,,,,,,,,,60.0
AS14.07,2014-04-18,5.2,-1.0,0.0,,,,,,,,,,,,,,,,,61.0
AS14.07,2014-04-19,7.0,0.25,0.0,,,,,,,,,,,,,,,,,62.0
AS14.07,2014-04-20,3.0,-2.0,0.0,,,,,,,,,,,,,,,,,63.0
AS14.07,2014-04-21,6.6,-0.4,0.0,,,,,,,,,,,,,,,,,64.0
AS14.07,2014-04-22,6.0,-0.2,0.0,,,,,,,,,,,,,,,,,65.0
AS14.07,2014-04-23,6.0,-0.6666666666666666,0.0,,,,,,,,,,,,,,,,,66.0
AS14.07,2014-04-24,5.6,-0.6,1.003,,,,,,,,,,,,,,,,,67.0
AS14.07,2014-04-25,3.3333333333333335,0.3333333333333333,0.0,,,,,,,,,,,,,,,,,68.0
AS14.07,2014-04-26,5.4,-0.4,0.0,,,,,,,,,,,,,,,,,69.0
AS14.07,2014-04-27,6.0,-0.6,0.0,,,,,,,,,,,,,,,,,70.0
AS14.07,2014-04-28,6.75,0.25,7.209999999999999,,,,,,,,,,,,,,,,,71.0
AS14.07,2014-04-29,5.0,-2.0,184.86200000000002,,,,,,,,,,,,,,,,,72.0
AS14.07,2014-04-30,5.0,-2.0,206.91199999999998,,,,,,,,,,,,,,,,,73.0
AS14.07,2014-05-01,5.0,-1.6666666666666667,98.51500000000001,,,,,,,,,,,,,,,,,74.0
AS14.07,2014-05-02,6.2,-0.6,112.095,,,,,,,,,,,,,,,,,75.0
AS14.07,2014-05-03,5.666666666666667,-0.6666666666666666,871.9999999999999,,,,,,,,,,,,,,,,,76.0
AS14.07,2014-05-04,8.0,-1.0,251.575,,,,,,,,,,,,,,,,,77.0
AS14.07,2014-05-05,5.5,-1.5,0.5,,,,,,,,,,,,,,,,,78.0
AS14.08,2014-03-05,6.333333333333333,0.0,0.0,,,,,,,,,,,,,,,,,17.0
AS14.08,2014-03-06,7.2,-0.6,13.0,,,,,,,,,,,,,,,,,18.0
